Date,DataCentre,Monthly_Contracted,Reserved,Decommissioned,Total_Contracted,Avg_Total_Load,Avg_IT_Load,Remaining_Racks,Space_Fill_%,Remaining_Load_kW,Load_Fill_%,Available_IT_kW,Utilization_%,Energy_kWh,Demand_Ratio,Actual_Density_kW_per_Rack
2025-02-28,UgandaDC,8,8,0,18,114.5,71.1,182,9.0,1085.5,9.541666666666666,728.9,8.8875,83585.0,1.2722222222222221,3.9499999999999997
2025-03-31,UgandaDC,10,0,0,28,201.1,112.1,172,14.000000000000002,998.9,16.758333333333333,687.9,14.0125,146803.0,1.4364285714285714,4.003571428571428
2025-04-30,UgandaDC,7,9,0,35,263.0,145.5,165,17.5,937.0,21.916666666666668,654.5,18.1875,191990.0,1.502857142857143,4.1571428571428575
2025-05-31,UgandaDC,5,0,1,39,273.8,156.8,161,19.5,926.2,22.81666666666667,643.2,19.6,199874.0,1.4041025641025642,4.02051282051282
2025-06-30,UgandaDC,5,7,1,43,340.3,176.7,157,21.5,859.7,28.358333333333334,623.3,22.0875,248419.0,1.5827906976744186,4.109302325581395
2025-07-31,UgandaDC,5,6,1,47,351.3,194.5,153,23.5,848.7,29.275000000000002,605.5,24.3125,256449.0,1.4948936170212765,4.138297872340425
2025-08-31,UgandaDC,5,8,1,51,337.7,196.3,149,25.5,862.3,28.141666666666666,603.7,24.5375,246521.0,1.324313725490196,3.8490196078431373
2025-09-30,UgandaDC,6,1,0,57,381.9,230.5,143,28.499999999999996,818.1,31.825,569.5,28.812500000000004,278787.0,1.3399999999999999,4.043859649122807
2025-10-31,UgandaDC,7,3,2,62,446.5,252.9,138,31.0,753.5,37.20833333333333,547.1,31.612499999999997,325945.0,1.4403225806451614,4.079032258064516
2025-11-30,UgandaDC,5,1,0,67,504.7,260.3,133,33.5,695.3,42.05833333333333,539.7,32.5375,368431.0,1.5065671641791045,3.8850746268656717
2025-12-31,UgandaDC,5,7,1,71,587.6,296.1,129,35.5,612.4,48.96666666666667,503.9,37.0125,428948.0,1.6552112676056339,4.170422535211268
2026-01-31,UgandaDC,4,4,2,73,489.1,285.6,127,36.5,710.9,40.75833333333333,514.4,35.7,357043.0,1.34,3.912328767123288
2026-02-28,UgandaDC,8,5,0,81,538.6,333.8,119,40.5,661.4,44.88333333333333,466.2,41.725,393178.0,1.3298765432098767,4.120987654320988
2026-03-31,UgandaDC,7,4,1,87,677.5,358.4,113,43.5,522.5,56.458333333333336,441.6,44.8,494575.0,1.5574712643678161,4.119540229885057
2026-04-30,UgandaDC,7,0,1,93,708.1,377.8,107,46.5,491.9,59.00833333333334,422.2,47.225,516913.0,1.5227956989247313,4.06236559139785
2026-05-31,UgandaDC,4,6,1,96,669.1,373.7,104,48.0,530.9,55.75833333333333,426.3,46.7125,488443.0,1.3939583333333334,3.892708333333333
2026-06-30,UgandaDC,5,2,0,101,723.0,410.7,99,50.5,477.0,60.25,389.3,51.337500000000006,527790.0,1.4316831683168316,4.066336633663366
2026-07-31,UgandaDC,4,2,1,104,663.4,396.3,96,52.0,536.6,55.28333333333333,403.7,49.5375,484282.0,1.2757692307692308,3.810576923076923
2026-08-31,UgandaDC,4,5,0,108,683.8,435.2,92,54.0,516.2,56.98333333333333,364.8,54.400000000000006,499173.99999999994,1.2662962962962963,4.029629629629629
2026-09-30,UgandaDC,10,4,1,117,738.7,489.6,83,58.5,461.29999999999995,61.55833333333334,310.4,61.199999999999996,539251.0,1.2627350427350428,4.184615384615385
2026-10-31,UgandaDC,8,7,0,125,785.5,513.6,75,62.5,414.5,65.45833333333333,286.4,64.2,573415.0,1.2568,4.1088000000000005
2026-11-30,UgandaDC,5,3,0,130,826.2,544.0,70,65.0,373.79999999999995,68.85,256.0,68.0,603126.0,1.2710769230769232,4.184615384615385
2026-12-31,UgandaDC,9,7,0,139,1008.1,563.2,61,69.5,191.89999999999998,84.00833333333334,236.79999999999995,70.4,735913.0,1.4505035971223021,4.051798561151079
2027-01-01,UgandaDC,9,7,0,139,1008.1,563.2,61,69.5,191.89999999999998,84.00833333333334,236.79999999999995,70.4,735913.0,1.4505035971223021,4.051798561151079
2025-01-31,TanzaniaDC,4,10,0,4,25.6,15.3,146,2.666666666666667,724.4,3.4133333333333336,484.7,3.06,18688.0,1.28,3.825
2025-02-28,TanzaniaDC,5,10,0,9,54.6,36.4,141,6.0,695.4,7.28,463.6,7.28,39858.0,1.2133333333333334,4.044444444444444
2025-03-31,TanzaniaDC,6,6,0,15,88.2,58.4,135,10.0,661.8,11.760000000000002,441.6,11.68,64386.0,1.176,3.893333333333333
2025-04-30,TanzaniaDC,8,8,0,23,157.1,92.6,127,15.333333333333332,592.9,20.946666666666665,407.4,18.519999999999996,114683.0,1.366086956521739,4.0260869565217385
2025-05-31,TanzaniaDC,9,10,2,30,175.9,116.1,120,20.0,574.1,23.453333333333333,383.9,23.22,128407.0,1.1726666666666667,3.8699999999999997
2025-06-30,TanzaniaDC,4,9,0,34,254.2,136.3,116,22.666666666666664,495.8,33.89333333333333,363.7,27.26,185566.0,1.4952941176470587,4.008823529411765
2025-07-31,TanzaniaDC,4,1,1,37,243.0,147.8,113,24.666666666666668,507.0,32.4,352.2,29.560000000000002,177390.0,1.3135135135135134,3.994594594594595
2025-08-31,TanzaniaDC,5,3,0,42,268.8,165.1,108,28.000000000000004,481.2,35.839999999999996,334.9,33.019999999999996,196224.0,1.28,3.9309523809523808
2025-09-30,TanzaniaDC,8,1,1,49,364.0,197.3,101,32.666666666666664,386.0,48.53333333333333,302.7,39.46,265720.0,1.4857142857142858,4.0265306122448985
2025-10-31,TanzaniaDC,5,0,2,52,330.7,202.5,98,34.66666666666667,419.3,44.093333333333334,297.5,40.5,241411.0,1.271923076923077,3.894230769230769
2025-11-30,TanzaniaDC,7,7,1,58,394.4,241.4,92,38.666666666666664,355.6,52.58666666666666,258.6,48.28,287912.0,1.3599999999999999,4.162068965517242
2025-12-31,TanzaniaDC,7,8,0,65,473.0,267.6,85,43.333333333333336,277.0,63.06666666666667,232.39999999999998,53.52,345290.0,1.4553846153846153,4.116923076923078
2026-01-31,TanzaniaDC,5,6,1,69,440.8,283.0,81,46.0,309.2,58.77333333333333,217.0,56.599999999999994,321784.0,1.27768115942029,4.101449275362318
2026-02-28,TanzaniaDC,4,9,1,72,445.5,285.6,78,48.0,304.5,59.4,214.39999999999998,57.120000000000005,325215.0,1.2375,3.966666666666667
2026-03-31,TanzaniaDC,10,6,1,81,505.2,329.7,69,54.0,244.8,67.36,170.3,65.94,368796.0,1.2474074074074073,4.07037037037037
2026-04-30,TanzaniaDC,10,10,2,89,576.2,354.1,61,59.333333333333336,173.79999999999995,76.82666666666668,145.89999999999998,70.82000000000001,420626.00000000006,1.2948314606741573,3.9786516853932588
2026-05-31,TanzaniaDC,9,0,2,96,708.2,395.0,54,64.0,41.799999999999955,94.42666666666668,105.0,79.0,516986.00000000006,1.4754166666666668,4.114583333333333
2026-06-30,TanzaniaDC,7,3,2,101,660.8,383.8,49,67.33333333333333,89.20000000000005,88.10666666666665,116.19999999999999,76.76,482383.99999999994,1.3085148514851483,3.8000000000000003
2026-07-31,TanzaniaDC,8,0,0,109,676.9,430.6,41,72.66666666666667,73.10000000000002,90.25333333333333,69.39999999999998,86.12,494137.0,1.2420183486238532,3.9504587155963304
2026-08-31,TanzaniaDC,10,9,1,118,915.1,482.0,32,78.66666666666666,-165.10000000000002,122.01333333333334,18.0,96.39999999999999,668023.0,1.5510169491525425,4.084745762711864
2026-09-30,TanzaniaDC,6,7,2,122,920.4,506.0,28,81.33333333333333,-170.39999999999998,122.72000000000001,-6.0,101.2,671892.0,1.5088524590163934,4.147540983606557
2026-10-31,TanzaniaDC,9,2,1,130,1004.8,542.2,20,86.66666666666667,-254.79999999999995,133.97333333333333,-42.200000000000045,108.44,733504.0,1.5458461538461539,4.170769230769231
2026-11-30,TanzaniaDC,10,7,0,140,914.0,572.9,10,93.33333333333333,-164.0,121.86666666666666,-72.89999999999998,114.58,667220.0,1.3057142857142856,4.092142857142857
2026-12-31,TanzaniaDC,9,8,1,148,964.4,599.2,2,98.66666666666667,-214.39999999999998,128.58666666666667,-99.20000000000005,119.84000000000002,704012.0,1.3032432432432433,4.048648648648649
2027-01-01,TanzaniaDC,9,8,1,148,964.4,599.2,2,98.66666666666667,-214.39999999999998,128.58666666666667,-99.20000000000005,119.84000000000002,704012.0,1.3032432432432433,4.048648648648649
